ime,višina (m),starost,povp. štartno mesto,povp. končno mesto,prevoženi krogi
Lewis Hamilton,1.74,39,4.2,3.6,19.752
Sebastian Vettel,1.75,37,6.3,5.3,16.427
Max Verstappen,1.80,26,5.2,3.6,10.719
Fernando Alonso,1.71,43,8.6,6.4,21.284
Kimi Räikkönen,1.75,44,7.7,6.2,18.620
Valtteri Bottas,1.72,34,7.7,7.5,13.300
Sergio Pérez,1.75,34,9.9,7.9,14.973
Nico Rosberg,1.78,39,6.9,6.4,11.159
Michael Schumacher,1.77,55,4.9,3.7,16.746
Daniel Ricciardo,1.79,35,9.9,8.7,13.896
Charles Leclerc,1.80,26,6.5,5.8,7.393
Jenson Button,1.82,44,10.0,7.5,16.276
Felipe Massa,1.66,43,8.5,7.3,14.854
Carlos Sainz,1.78,29,9.0,7.4,10.557
Mark Webber,1.84,47,8.3,6.6,10.978
Lando Norris,1.75,24,7.6,7.2,6.703
Alain Prost,1.65,69,4.1,3.0,10.540
Rubens Barrichello,1.72,52,8.9,7.1,16.642
Ayrton Senna,1.75,34,3.1,3.1,8.236
George Russell,1.88,26,10.9,9.8,6.551
Nico Hülkenberg,1.84,36,10.8,10.3,11.351
David Coulthard,1.82,53,7.7,5.8,12.394
